Easting,Northing,Abundance
897068.5618729098,3548500,0.012084372613410804
899603.6789297659,3548500,0.007332187275736288
902138.7959866221,3548500,0.0025800019380617725
904673.9130434783,3548500,0
907209.0301003344,3548500,0
909744.1471571907,3548500,0
912279.2642140469,3548500,0
914814.381270903,3548500,0
917349.4983277592,3548500,0
919884.6153846154,3548500,0
922419.7324414717,3548500,0
924954.8494983278,3548500,0
927489.966555184,3548500,0
930025.0836120402,3548500,0
932560.2006688963,3548500,0
935095.3177257526,3548500,0
937630.4347826088,3548500,0
940165.5518394649,3548500,0
942700.6688963211,3548500,0
945235.7859531773,3548500,0
947770.9030100335,3548500,0
950306.0200668897,3548500,0
952841.1371237459,3548500,0
955376.254180602,3548500,0
957911.3712374582,3548500,0
960446.4882943145,3548500,0
962981.6053511706,3548500,0
965516.7224080268,3548500,0
968051.839464883,3548500,0
970586.9565217391,3548500,0
973122.0735785954,3548500,0
975657.1906354516,3548500,0
978192.3076923077,3548500,0
980727.4247491639,3548500,0
983262.5418060201,3548500,0
985797.6588628762,3548500,0
988332.7759197325,3548500,0
990867.8929765887,3548500,0
993403.0100334449,3548500,0
995938.127090301,3548500,0
998473.2441471572,3548500,0
1001008.3612040135,3548500,0
1003543.4782608696,3548500,0
1006078.5953177258,3548500,0
1008613.712374582,3548500,0
1011148.8294314381,3548500,0
1013683.9464882944,3548500,0
1016219.0635451506,3548500,0
1018754.1806020067,3548500,0
1021289.2976588629,3548500,0
1023824.4147157191,3548500,0
1026359.5317725753,3548500,0
1028894.6488294315,3548500,0
1031429.7658862877,3548500,0
1033964.8829431438,3548500,0
1036500,3548500,0
278500,3554590.3010033444,0
281035.11705685616,3554590.3010033444,0
283570.2341137124,3554590.3010033444,0
286105.35117056855,3554590.3010033444,0
288640.4682274248,3554590.3010033444,0
291175.58528428094,3554590.3010033444,0
293710.7023411371,3554590.3010033444,0
296245.8193979933,3554590.3010033444,0
298780.9364548495,3554590.3010033444,0
301316.0535117057,3554590.3010033444,0
303851.1705685619,3554590.3010033444,0
306386.28762541804,3554590.3010033444,0
308921.40468227427,3554590.3010033444,0
311456.52173913043,3554590.3010033444,0
313991.63879598666,3554590.3010033444,0
316526.7558528428,3554590.3010033444,0
319061.872909699,3554590.3010033444,0
321596.9899665552,3554590.3010033444,0
324132.1070234114,3554590.3010033444,0
326667.22408026754,3554590.3010033444,0
329202.34113712376,3554590.3010033444,0
331737.4581939799,3554590.3010033444,0
334272.57525083615,3554590.3010033444,0
336807.6923076923,3554590.3010033444,0
339342.8093645485,3554590.3010033444,0
341877.9264214047,3554590.3010033444,0
344413.04347826086,3554590.3010033444,0
346948.16053511703,3554590.3010033444,0
349483.27759197325,3554590.3010033444,0
352018.3946488294,3554590.3010033444,0
354553.51170568564,3554590.3010033444,0
357088.6287625418,3554590.3010033444,0
359623.74581939797,3554590.3010033444,0
362158.8628762542,3554590.3010033444,0
364693.97993311036,3554590.3010033444,0
367229.0969899666,3554590.3010033444,0
369764.21404682274,3554590.3010033444,0
372299.3311036789,3554590.3010033444,0
374834.44816053513,3554590.3010033444,0
377369.5652173913,3554590.3010033444,0
379904.6822742475,3554590.3010033444,0
382439.7993311037,3554590.3010033444,0
