run,quota,acceptable,cashflow,red_biomass,blue_biomass,red_landings,blue_landings
1,1000,1.5,128625.10744775369,2790206.4166249884,2832050.629732864,83600.01000000001,49100.199999999975
1,1000,1.6,128966.31160942499,2792724.4705868913,2829805.3257000763,96800.01000000001,49400.23
1,1000,1.7,124599.74798309535,2833336.050401469,2830514.199786614,77700.015,48000.2
1,1000,1.8,120941.89489215847,2848857.7196587534,2830300.1265161335,87500.015,47900.200000000004
1,1000,1.9,117659.93413020507,2839925.4257690683,2828415.4287829706,66300.0,50000.20499999999
1,1000,2.0,122174.16492394902,2849984.956099495,2832433.6983964173,85000.02,47900.16999999999
1,1000,9999,97437.36081032795,2834236.591582222,2710557.8888584943,39585.74,49336.965
2,500,0.1,111198.5901902188,2903687.7695276006,2915897.167870144,108000.135,11500.09
2,500,0.2,109990.30026362058,2907072.018673669,2915471.734225168,104000.125,12000.105
2,500,0.3,105191.00053643134,2925870.9212043756,2912422.7884434066,72000.08499999999,16000.119999999999
2,500,0.4,114314.09063351937,2910988.64894431,2916107.3321157186,80000.1,15000.105
2,500,0.5,112944.82650771635,2897791.8606836675,2916756.127779632,104000.12999999999,12000.1
2,500,0.6,122253.43651663698,2887401.6893692887,2919291.507108244,117800.14499999999,10500.095000000001
2,500,0.7,115037.24002849648,2891521.864414064,2915863.4313231087,120000.13999999998,10500.085000000001
2,500,0.8,100548.64634658798,2904826.6498178686,2901999.2048345245,95286.01,19300.124999999996
2,500,0.9,107286.89577089224,2874746.4353021327,2898308.3281013584,106000.065,20300.159999999996
2,500,1.0,104931.11989910764,2868277.5581943598,2896620.648940888,100800.055,19900.14
2,500,1.1,96496.93185416573,2854260.709315221,2892222.0564928064,90700.02,23200.185
2,500,1.2,98575.79907075266,2867622.9450976592,2894825.1275207163,91200.045,21800.135
2,500,1.3,96943.38731167078,2863961.373387364,2889966.334043558,70600.01000000001,24300.184999999994
2,500,1.4,96526.89001870852,2838707.0454199226,2890498.2420378663,72200.025,23300.160000000003
2,500,1.5,98540.14378055987,2814266.809951254,2889038.7787660877,83100.02,24400.185
2,500,1.6,86418.20210944138,2859439.065036206,2887018.486708,74500.005,24800.204999999998
2,500,1.7,86284.72985406368,2880261.793078897,2888097.430117251,70800.005,24500.194999999996
2,500,1.8,85255.13858714896,2881311.13460547,2887411.077398769,59400.020000000004,24300.175
2,500,1.9,83099.73236345983,2898687.151621289,2889888.5253380714,54700.03,24000.16
2,500,2.0,84409.41243565547,2900512.592282957,2889941.268023144,63600.035,23600.16
2,500,9999,56217.10726163087,2929387.768368785,2840348.821995474,10280.760000000002,25000.235
2,1000,0.1,117580.31321616432,2904639.477847709,2892685.91189266,108000.13,23000.085
2,1000,0.2,118972.66015132597,2915100.5177752906,2890943.7465926977,100000.125,25000.095
2,1000,0.3,118902.50744574954,2909763.4957577656,2890628.317012559,100000.11499999999,25000.095
2,1000,0.4,121379.46087861725,2912028.4450938953,2891778.166410071,92000.11499999999,27000.135
2,1000,0.5,115035.10465341588,2926743.418592249,2884314.1165810004,77800.095,31000.125000000004
2,1000,0.6,137285.5400173676,2887077.170349486,2890213.8894376317,119800.12999999999,24600.105
2,1000,0.7,141185.26584087967,2872618.566084622,2867242.2062325124,107000.06,38000.155
2,1000,0.8,140717.91619278418,2859552.234463774,2858883.3179509807,118700.075,41600.135
2,1000,0.9,147763.90619142493,2827540.1867922135,2853670.6638930393,123400.07,42300.155
2,1000,1.0,138853.71031369327,2805661.971811672,2847799.6402675947,108500.055,43000.13
2,1000,1.1,140778.6406138598,2775308.902032054,2843685.3520861114,112800.035,44500.16499999999
2,1000,1.2,137277.4975474582,2762106.023302079,2841906.4355014754,121700.065,41900.134999999995
2,1000,1.3,133822.2987162317,2795296.2986773304,2840688.847770027,91200.04000000001,44400.165
2,1000,1.4,128703.63116053442,2786474.2276227796,2829185.7874315926,79218.58,50000.225
2,1000,1.5,125214.11268433908,2818379.27389619,2832961.3293090644,81100.025,46600.215
2,1000,1.6,124900.92903942126,2824722.6375018703,2832445.9058481124,80100.025,47200.195
2,1000,1.7,122807.01855597064,2822046.632273984,2831866.309430574,77100.02,49000.2
