x,y,depth
20562.559684876876,327532.30022986524,100
30569.155614777526,327493.82756148756,100
40574.59271479392,327456.172170085,100
50578.89585772145,327419.33358605223,100
60582.08990231069,327383.31135009654,100
70584.19969357859,327348.10501322453,100
80585.25006310816,327313.7141367283,100
90585.26582938008,327280.1382921713,100
100584.27179806313,327247.37706137635,100
110582.29276234156,327215.4300364119,100
120579.35350320523,327184.2968195802,100
130575.47878977872,327153.9770234046,100
140570.69337961986,327124.4702706183,100
150565.0220190272,327095.77619415225,100
160558.48944335198,327067.8944371243,100
170551.12037730345,327040.8246528282,100
180542.93953526125,327014.5665047232,100
190533.97162157897,326989.1196664233,100
200524.2413308886,326964.48382168787,100
210513.773348412,326940.6586644116,100
220502.5923502638,326917.64389861544,100
230490.72300376307,326895.43923843745,100
240478.18996773314,326874.04440812406,100
250465.01789280298,326853.4591420217,100
260451.23142173223,326833.6831845689,100
270436.85518969264,326814.716290288,100
280421.91382458346,326796.55822377827,100
290406.4319473475,326779.2087597086,100
300390.4341722437,326762.66768281034,100
310373.94510719215,326746.9347878708,100
320356.98935404606,326732.0098797276,100
330339.59150891023,326717.89277326205,100
340321.776162442,326704.58329339366,100
350303.5679001515,326692.0812750752,100
360284.9913027171,326680.3865632872,100
370266.0709462709,326669.4990130334,100
380246.83140271367,326659.41848933673,100
390227.29724001494,326650.14486723463,100
400207.49302251276,326641.67803177546,100
410187.4433112311,326634.0178780151,100
420167.1726641506,326627.1643110139,100
430146.7056365517,326621.1172458332,100
440126.0667812852,326615.8766075337,100
450105.28064908646,326611.44233117223,100
460084.37178888876,326607.81436180027,100
470063.3647480949,326604.9926544622,100
480042.28407291847,326602.97717419424,100
490021.15430865536,326601.76789602265,100
5e5,326601.3648049636,100
509978.84569134464,326601.76789602265,100
519957.71592708153,326602.97717419424,100
529936.6352519023,326604.9926544622,100
539915.6282111113,326607.81436180027,100
549894.7193509107,326611.44233117223,100
559873.9332187148,326615.8766075337,100
569853.2943634483,326621.1172458332,100
579832.8273358494,326627.1643110139,-0.2503834068775177
589812.5566887718,326634.0178780151,-2
599792.5069774843,326641.6780317754,-6.202899932861328
609772.702759985,326650.14486723463,-85.4996566772461
619753.1685972863,326659.41848933673,-276.3572692871094
629733.9290537292,326669.4990130334,-540.00030517578125
639715.0086972829,326680.3865632872,-507.5177917480469
649696.4320998456,326692.0812750752,-1520.9520263671875
659678.2238375609,326704.58329339366,-1874.652099609375
669660.4084910897,326717.89277326205,-2151.551025390625
679643.0106459539,326732.0098797276,-2205.760986328125
689626.0548928078,326746.9347878708,-2453.056884765625
699609.5658277535,326762.6676828103,-2926.940185546875
709593.5680526554,326779.2087597086,-3727.156005859375
719578.0861754137,326796.55822377827,-3888.55126953125
729563.1448103073,326814.716290288,-3719.746826171875
739548.7685782678,326833.6831845689,-3968.776123046875
749534.982107197,326853.4591420217,-4162.04736328125
