x,y,z
3,2,-69.88165537516277
3,3,-70.65338770548503
3,4,-63.86188721656799
3,5,-53.6241512298584
3,6,-62.127501487731934
3,7,-52.38762187957764
3,8,-40.02720791101456
3,9,-38.379151344299316
3,10,-58.25652567545573
3,11,-49.61340872446696
3,12,-44.1444730758667
3,13,-37.22680505116781
3,14,-33.89238182703654
3,15,-34.62246608734131
3,16,-37.38485264778137
3,17,-32.35669565200806
3,18,-28.73733107248942
3,19,-23.041178544362385
3,20,-19.444122552871704
3,21,-16.556107759475708
3,22,-15.19250520070394
3,23,-20.985827287038166
3,24,-26.915103435516357
3,25,-28.91973876953125
3,26,-30.720388730367024
3,27,-23.019875526428223
3,28,-34.539206981658936
3,29,-37.38981008529663
3,30,34.81084227561951
3,31,100.0
3,32,100.0
3,33,100.0
3,34,100.0
3,35,-59.09083557128906
3,36,-1746.1101684570312
3,37,-2727.701619466146
4,0,-66.89492988586426
4,1,-71.28568988376193
4,2,-72.86431545681424
4,3,-61.759871588812935
4,4,-53.98739242553711
4,5,-47.52326308356391
4,6,0.4940515094333225
4,7,-34.430704010857475
4,8,-39.62820529937744
4,9,-41.441018422444664
4,10,-50.91416676839193
4,11,-54.373289320203995
4,12,-50.55617300669352
4,13,-40.54793167114258
4,14,-36.30128436618381
4,15,-32.8722055223253
4,16,-30.070702075958252
4,17,-30.157669915093315
4,18,-29.547632217407227
4,19,-12.573127110799154
4,20,5.05127313401964
4,21,-34.98072244723638
4,22,-26.122574912177193
4,23,-23.19421535068088
4,24,-24.233356687757706
4,25,-26.19334650039673
4,26,-23.68806923760308
4,27,-37.105536142985024
4,28,-33.151216718885635
4,29,-41.27824846903483
4,30,14.759237951702541
4,31,100.0
4,32,100.0
4,33,100.0
4,34,100.0
4,35,62.67261420355903
4,36,-1179.2239922417534
4,37,-2246.3663465711807
5,0,-73.25083192189534
5,1,-74.61552429199219
5,2,-62.47212558322482
5,3,-58.49443096584744
5,4,-50.61330223083496
5,5,-47.774395836724175
5,6,-38.34700255923801
5,7,-34.33437474568685
5,8,-37.375830014546715
5,9,-38.22433386908637
5,10,-37.00768364800347
5,11,-41.67211786905924
5,12,-41.130574226379395
5,13,-40.61655977037218
5,14,-41.15800984700521
5,15,-38.78013271755643
5,16,-35.23689476648966
5,17,-30.863013797336155
5,18,0.8367643356323242
5,19,76.3211345937517
5,20,88.66112025578816
5,21,3.673433025677999
5,22,-32.07866562737359
5,23,-30.72233221266005
5,24,-27.855580012003582
5,25,-32.089204947153725
5,26,-36.25759908888075
5,27,-37.83422427707248
5,28,-37.600001864963104
5,29,-42.98350397745768
5,30,-29.980735566880966
5,31,75.3611420525445
5,32,100.0
5,33,100.0
5,34,100.0
5,35,100.0
5,36,-288.6822577582465
5,37,-1654.7874688042534
6,0,-82.9868392944336
6,1,-70.07890701293945
6,2,-55.660983615451386
6,3,-53.6489503648546
6,4,-52.330906550089516
6,5,-46.163444942898224
6,6,-43.47253290812174
6,7,-42.42030758327908
6,8,-36.0417423248291
6,9,-34.075438499450684
6,10,-35.15005323621962
6,11,-34.257771809895836
6,12,-34.289987087249756
6,13,-41.0855835808648
6,14,-44.73856184217665
6,15,-44.658077239990234
6,16,-38.960049629211426
6,17,-35.29348797268338
6,18,-11.309017671479118
6,19,100.0
6,20,100.0
6,21,-2.3432305455207825
6,22,-23.095558802286785
6,23,-30.428886625501846
6,24,-31.4699895646837
6,25,-37.35175291697184
6,26,-33.37446700202094
