"Mean biomass (tons), excluding first ages specified in input"
"Time","smallpelagic1","macrozooplankton","demersal1","demersal2","demersal3","mesopelagic","smallpelagic2","smallpelagic3","largepelagic1","largepelagic2"
129.25,108839.8,443257.12,1242455.5,1625850.5,179956.4,505203.97,745969.9,417071.72,103.47136,0.0
129.5,97141.49,1023574.0,1219855.0,1624902.9,167753.61,673606.8,679549.75,468631.34,103.236115,0.0
129.75,104595.82,1006277.06,1175496.9,1575556.4,157905.1,608523.06,661532.8,442556.38,101.609924,0.0
130.0,114833.5,508622.72,1177379.8,1495106.5,159207.42,473450.6,721074.3,453525.88,100.31242,0.0
130.25,101791.12,507655.25,1277253.4,1493685.4,174187.95,529122.8,715750.94,428442.97,99.435555,0.0
130.5,89432.11,1206303.9,1349371.9,1483678.0,180134.89,703007.06,706658.0,458508.06,98.29462,0.0
130.75,87334.3,1090359.5,1330707.1,1394512.4,182517.11,667337.0,719767.4,502219.38,97.21749,0.0
131.0,74945.234,514290.72,1331386.0,1327562.0,185393.28,576679.94,782671.6,546342.44,96.15786,0.0
131.25,63571.273,563201.56,1391827.8,1485342.4,202225.47,653668.5,772528.56,508574.0,95.525604,0.0
131.5,53284.227,1275115.2,1357226.9,1673947.5,215002.34,779399.94,761258.1,479116.62,96.33198,0.0
131.75,57753.0,1119526.1,1322895.2,1679610.2,202018.48,681413.7,729090.94,486608.44,96.83433,0.0
132.0,66953.66,497476.1,1336101.4,1645534.6,199405.58,517437.62,752032.2,521334.03,95.23227,0.0
132.25,56613.28,549721.06,1441363.2,1786507.4,199524.5,546632.06,732331.5,495455.8,95.7806,0.0
132.5,44567.688,1279446.4,1483502.8,1847025.4,193090.47,629758.2,708997.1,481198.5,96.5679,0.0
132.75,50241.4,1166939.4,1439383.2,1835418.6,182019.11,487792.84,674459.06,464344.6,96.19652,0.0
133.0,58829.78,543002.9,1367451.6,1803167.1,179745.45,407797.03,714675.3,491274.72,94.88039,0.0
133.25,54131.285,512822.5,1411936.0,1920118.0,171741.86,487904.78,684787.25,445373.78,94.26918,0.0
133.5,44877.594,1114235.5,1387358.9,1940745.6,167674.25,640453.9,633057.4,489451.78,94.88361,0.0
133.75,51022.844,1075351.9,1321137.0,1878033.8,158691.38,524721.2,607443.4,470987.03,95.69456,0.0
