time,x,y,distance,habitat,neighbors,cash
311.17640113184376,149.95839598138988,3.442316011742607,867.075674339073,504.3508668926238,6.75,189821.50782101377
838.7401795734636,33.452377567939,7.588731554113869,755.2537264925782,222.2656929045978,4.0,195333.81515443936
987.1716643565003,137.39576521473228,7.972508801552665,363.0360111807142,925.4210354518251,1.0,182338.26649715914
927.1412988467786,82.09150751107065,63.43116468922494,181.02288767469764,214.20765995924359,4.28,170243.92703680455
682.6612821322296,607.5425346467243,28.14962006089104,153.03036791924447,259.327214239031,5.64,163000.45119282388
959.0139960581447,713.363441143791,6.199948959391126,756.8394999285504,594.8601391927606,4.0,186242.20497426548
945.2331033098517,490.7825230356674,90.28314237587782,179.08931039560935,833.3523259760229,1.84,156743.7555410498
674.5670914837132,29.67790947165518,14.55418972087685,812.9112122615466,792.5070982860296,3.44,184093.89620769882
635.793090119724,158.42023193686725,10.201242639390628,312.03713891771855,602.593348644485,7.8,195568.03811302496
721.0860223719858,42.72096906237757,4.873719931467076,207.94934047318736,417.58871631409136,1.0,186812.33317592274
507.15386860504407,380.68490421582896,111.5458296409697,186.26909197164366,308.9676246472742,3.45,152702.62495591794
805.8132409858939,561.1355461027052,3.1460518488570193,286.04484558957944,977.3596692358503,6.0,178027.65799484155
664.5049160425389,742.7222702848517,4.095662972960112,38.15646565624696,323.10341015099107,2.0,192379.75909785653
728.8886361893301,388.4665448592398,28.75788654480949,367.97342246673827,737.4832682714316,6.0,159248.01420799957
563.1880072428775,153.64901632281314,4.852775185143972,834.82093177824,255.9348760026626,2.0,177220.38041825304
978.8651498854415,93.69414001399431,38.213732728604214,328.40711055760016,681.8535118415895,2.0,174000.40737383044
674.9240548086134,192.0512949489307,43.19954822878005,377.35539655685335,284.54124891967876,2.45,163936.17659808992
733.6410199607433,292.9809848019804,51.664212827997,365.36377260380937,700.5131948989546,3.56,152238.8248901011
520.1341365326052,108.72763579310723,39.498691133743584,352.1326385373297,538.7958402959136,3.19,169555.2174801471
717.6347035603322,450.2981080671502,17.071083999512307,91.30052720533713,203.25544906428672,5.83,189210.36887197016
463.31099881664676,633.6935973861226,39.15427563537476,388.9434011449405,138.84095030726695,2.49,161867.97459725727
776.0538235878698,617.1672087322064,268.83672479866755,165.76387145896396,786.9376958908709,3.08,135853.01984869395
503.13605793218807,496.82855017029004,28.661115887707375,326.30733625668955,297.2562034537325,4.12,161553.51074486805
858.247919431189,82.80583859096986,3.6770051378670714,875.5029361691309,758.9457467887983,2.0,194740.04923969155
802.7892610070033,681.4045126776542,67.68164012764925,509.98238458035297,279.51206311452194,1.0,150267.29940343826
582.8064584378003,460.71035718905006,8.301994246809498,266.96332432167145,955.1595839585402,4.0,189260.60574590287
478.22345975250886,369.3210292147433,19.63147482102956,498.80629264738224,331.1563699801829,3.48,175398.88670563637
580.8526648741839,759.8069597109309,133.99643876121718,622.5371733486256,367.2306575734416,1.0,134937.6013944594
923.4039134722748,521.413202925032,60.291720554990185,817.3943641577918,493.4568435792999,1.6,170243.03833152325
602.8398147768758,527.2320317847011,268.55443363127483,272.94966804798065,497.2267809353298,2.34,146409.5336965901
759.5073560138845,379.3622984749534,21.542520174993975,15.021060520084042,144.92509330836,9.0,184011.22641503534
429.84310486999965,79.48317245444944,2.6187784069284397,542.9869775825641,611.1350223333361,2.0,184831.46611322716
344.19384356939634,48.6752083431965,6.911804364556783,214.89482830081164,510.5012024603565,3.0,181896.75424064454
792.6945656551409,38.32914544690585,26.87181107195784,156.6821760626535,883.0977483639449,2.0,166039.1369046608
915.8996068716749,689.2630972069677,197.70836662635972,750.3857215406358,232.32314425308945,4.45,153431.5610908293
652.9838445997761,432.9819830403478,45.08201189641685,315.6274059320589,173.96178396776386,1.42,152233.30982306175
887.9426143290034,800.9015854105036,68.21866503974132,339.1569652142058,492.8133633667446,5.24,162642.63775409473
