alpha,epsilon,performance
0.15,0.66,2678.695064708628
0.15,0.67,1510.9961591201227
0.15,0.68,-1814.3628136425195
0.15,0.69,-5338.905235193697
0.15,0.7,-7431.015009516728
0.15,0.71,-12953.633159115321
0.15,0.72,-15730.134932478148
0.15,0.73,-17539.259411647017
0.15,0.74,-20620.526785767433
0.15,0.75,-25981.260968244358
0.15,0.76,-30902.433338906558
0.15,0.77,-30504.20488389948
0.15,0.78,-35296.300473442534
0.15,0.79,-37982.596368904255
0.15,0.8,-40537.991433963034
0.15,0.81,-42319.532006838286
0.15,0.82,-45506.78949620133
0.15,0.83,-50432.71150479032
0.15,0.84,-50246.620070359284
0.15,0.85,-54379.76004876288
0.15,0.86,-57692.002217459885
0.15,0.87,-58965.27161478188
0.15,0.88,-59588.845144396924
0.15,0.89,-62599.166872061716
0.15,0.9,-64323.521888984615
0.15,0.91,-70129.46692712126
0.15,0.92,-66884.68584918263
0.15,0.93,-74468.85064132861
0.15,0.94,-79150.06873432986
0.15,0.95,-79403.07943488483
0.15,0.96,-84909.89566537009
0.15,0.97,-84760.46763216928
0.15,0.98,-90483.70985630846
0.15,0.99,-93096.6600060346
0.15,1.0,-94996.11115800362
0.16,0.0,136559.74460615215
0.16,0.01,171709.07904909755
0.16,0.02,197789.3484160704
0.16,0.03,220618.83008271945
0.16,0.04,227891.40660963434
0.16,0.05,232012.8971981571
0.16,0.06,231466.99406047084
0.16,0.07,229059.9007028304
0.16,0.08,228185.5735264445
0.16,0.09,225306.370684182
0.16,0.1,222142.8324017201
0.16,0.11,219279.84903016503
0.16,0.12,215936.09669770693
0.16,0.13,212592.3470677241
0.16,0.14,206989.61673552103
0.16,0.15,206740.61818796274
0.16,0.16,197346.54501381973
0.16,0.17,196780.95277782105
0.16,0.18,191375.74368059624
0.16,0.19,188012.56139255344
0.16,0.2,184012.88711034652
0.16,0.21,179696.27297434022
0.16,0.22,173337.6432088612
0.16,0.23,168950.48573168018
0.16,0.24,163054.0310763805
0.16,0.25,160430.22161862027
0.16,0.26,156644.86125212867
0.16,0.27,153734.85729180317
0.16,0.28,147251.0945101738
0.16,0.29,143799.4065888175
0.16,0.3,140417.62694800287
0.16,0.31,135373.46448178127
0.16,0.32,131638.51653388556
0.16,0.33,126772.14184487486
0.16,0.34,122758.96267239717
0.16,0.35,118872.2158264816
0.16,0.36,115661.59305677192
0.16,0.37,109008.96327597526
0.16,0.38,106545.1170629905
0.16,0.39,103423.162343082
0.16,0.4,99062.99816118265
0.16,0.41,96124.68037019183
0.16,0.42,92092.28414131173
0.16,0.43,85674.23134141666
0.16,0.44,81507.22596825645
0.16,0.45,80207.72999780411
0.16,0.46,77109.61336724379
0.16,0.47,72928.89971476453
0.16,0.48,67598.89551523718
0.16,0.49,66112.0759483855
0.16,0.5,59613.081825709036
0.16,0.51,58699.87157247223
0.16,0.52,55195.52823623336
0.16,0.53,47430.21782513144
0.16,0.54,48423.19348088119
0.16,0.55,43438.59683692356
0.16,0.56,38809.53273815378
0.16,0.57,38190.35167752067
0.16,0.58,33805.356310323914
0.16,0.59,27632.933681173818
0.16,0.6,23712.06776808407
0.16,0.61,20868.362609963886
0.16,0.62,16905.653830637606
0.16,0.63,14133.873785899774
0.16,0.64,14008.96595203138
0.16,0.65,7512.94194414751
0.16,0.66,3478.1560991247343
0.16,0.67,2902.1538138422584
0.16,0.68,-2282.976565791573
0.16,0.69,-1741.7926784688125
0.16,0.7,-7978.889373060331
0.16,0.71,-13747.232159692901
0.16,0.72,-14875.31063367084
0.16,0.73,-17310.31295952782
0.16,0.74,-20862.607404535665
0.16,0.75,-25805.781169759535
0.16,0.76,-26727.986481581498
0.16,0.77,-29844.453311151767
0.16,0.78,-33501.6749204382
0.16,0.79,-36813.151693928565
0.16,0.8,-40471.334569969404
0.16,0.81,-41517.644839296445
0.16,0.82,-41588.15305048837
0.16,0.83,-46030.072262002774
0.16,0.84,-50462.88288422921
0.16,0.85,-55361.26040794822
0.16,0.86,-54921.1562289969
0.16,0.87,-60568.31569002758
0.16,0.88,-58950.02070381475
0.16,0.89,-62124.9536835612
0.16,0.9,-65034.77499365044
0.16,0.91,-68697.94746493542
0.16,0.92,-71842.15525957942
0.16,0.93,-72614.17899404031
0.16,0.94,-78069.21179624567
0.16,0.95,-79093.39632727098
0.16,0.96,-85730.46408743144
0.16,0.97,-84018.38436361475
0.16,0.98,-88764.99362768346
0.16,0.99,-93096.6600060346
0.16,1.0,-94996.11115800362
0.17,0.0,136559.74460615215
0.17,0.01,177671.97233392275
0.17,0.02,202215.7532671096
0.17,0.03,224512.9287819845
0.17,0.04,227033.9853034606
0.17,0.05,231133.700222634
0.17,0.06,234540.47184960858
0.17,0.07,231351.8620424675
0.17,0.08,230598.343412552
0.17,0.09,227396.746689373
0.17,0.1,224221.24945555703
0.17,0.11,219742.24196337356
0.17,0.12,216900.2007704473
0.17,0.13,214634.69415559463
0.17,0.14,209139.8233021777
0.17,0.15,204654.66215469447
0.17,0.16,197779.6540291374
0.17,0.17,196671.79930461562
0.17,0.18,191932.72586947944
0.17,0.19,188018.01999049057
0.17,0.2,181994.10811258946
0.17,0.21,176911.5046573947
0.17,0.22,175903.7240458052
0.17,0.23,170736.50572084828
0.17,0.24,164969.62901010632
0.17,0.25,160888.07825392162
0.17,0.26,159660.40956554856
0.17,0.27,150986.40668726483
0.17,0.28,149869.34829250825
0.17,0.29,145361.13083737364
0.17,0.3,137042.48200421035
0.17,0.31,136818.47241223668
0.17,0.32,134221.6922997544
0.17,0.33,127731.33636006503
0.17,0.34,126704.93133346536
0.17,0.35,119335.94749145808
0.17,0.36,114383.88301921285
0.17,0.37,114350.8357537339
0.17,0.38,108015.92614637512
0.17,0.39,105602.45299780415
0.17,0.4,100780.90012541645
0.17,0.41,95504.32773796614
0.17,0.42,94109.19998851002
0.17,0.43,88568.20363330033
0.17,0.44,83011.05191986547
0.17,0.45,79720.19134006657
0.17,0.46,75642.06079001025
0.17,0.47,70364.27383404294
0.17,0.48,69803.98200395526
0.17,0.49,64093.47401068397
0.17,0.5,60718.622077408065
0.17,0.51,56782.492976522946
0.17,0.52,55722.70698760991
0.17,0.53,48853.0168335929
0.17,0.54,47415.2648884575
0.17,0.55,45517.933280648715
0.17,0.56,37854.64935269129
0.17,0.57,38548.0634422271
0.17,0.58,34810.20611560486
0.17,0.59,31174.85184012666
0.17,0.6,25238.746828012074
0.17,0.61,24519.237300452223
0.17,0.62,18372.17747734833
0.17,0.63,11383.779361145484
0.17,0.64,9977.151561888135
0.17,0.65,6880.852602395244
0.17,0.66,6039.480824801696
0.17,0.67,246.88323212291925
0.17,0.68,-120.04158758291942
0.17,0.69,-4426.418807813863
0.17,0.7,-9811.149903058027
0.17,0.71,-12209.556409149023
0.17,0.72,-15498.404268334361
0.17,0.73,-20071.02185627223
0.17,0.74,-20105.789230070157
0.17,0.75,-24445.64635351915
0.17,0.76,-26924.424664891085
0.17,0.77,-30804.493119125647
0.17,0.78,-32258.417508503626
0.17,0.79,-37429.18372982232
0.17,0.8,-39203.45995985756
0.17,0.81,-43104.238234053046
0.17,0.82,-42105.45624437477
0.17,0.83,-47529.97735654182
0.17,0.84,-51950.88191999542
0.17,0.85,-51737.66432084302
0.17,0.86,-57551.88537789037
0.17,0.87,-57223.56656664599
0.17,0.88,-61848.42078623921
0.17,0.89,-63730.621361934944
0.17,0.9,-64350.52119977897
0.17,0.91,-68120.8414562189
0.17,0.92,-68969.2168223279
0.17,0.93,-72285.61656512269
0.17,0.94,-76556.31762139754
0.17,0.95,-81648.99242700097
0.17,0.96,-87285.46332631077
0.17,0.97,-84390.80818126537
0.17,0.98,-89428.41402231251
0.17,0.99,-93096.6600060346
0.17,1.0,-94996.11115800362
0.18,0.0,136789.38907070842
0.18,0.01,175076.32501160595
0.18,0.02,212035.91223975184
0.18,0.03,221683.3083027554
0.18,0.04,227216.4528381318
0.18,0.05,234341.77647805354
0.18,0.06,233497.93216866942
0.18,0.07,232693.169191616
0.18,0.08,230937.5050622709
0.18,0.09,228063.53349087326
0.18,0.1,224000.96638485737
0.18,0.11,219080.73468533723
0.18,0.12,216128.3914919609
0.18,0.13,215228.12600208784
0.18,0.14,210541.65123276075
0.18,0.15,206010.31212258144
0.18,0.16,203038.21573827413
0.18,0.17,197770.54851138187
0.18,0.18,193773.45427378523
0.18,0.19,186815.40741742036
0.18,0.2,184622.77361720285
0.18,0.21,180160.8239929886
0.18,0.22,177077.6599956815
0.18,0.23,173206.31181423218
0.18,0.24,167269.31198600476
0.18,0.25,165511.79477199237
0.18,0.26,157857.36690499051
0.18,0.27,155456.3058082086
0.18,0.28,150451.44813573087
0.18,0.29,145944.41252209345
0.18,0.3,141261.54721021134
0.18,0.31,137459.25589954454
0.18,0.32,134941.7108359634
0.18,0.33,130368.28526296059
0.18,0.34,124860.6128273744
0.18,0.35,119154.44860894361
0.18,0.36,117090.41938621463
0.18,0.37,113291.88440563554
0.18,0.38,109152.18724020908
0.18,0.39,107116.0502161074
0.18,0.4,101279.03828436931
0.18,0.41,98794.58586890914
0.18,0.42,96101.36453138756
0.18,0.43,89141.13535839968
0.18,0.44,86535.26286019257
0.18,0.45,79656.61781462206
0.18,0.46,77866.65320963376
0.18,0.47,73210.1701287471
0.18,0.48,71760.17722386369
0.18,0.49,65996.95158439188
0.18,0.5,63144.458564138346
0.18,0.51,56632.74677334241
0.18,0.52,56063.85722462897
0.18,0.53,53111.072555931954
0.18,0.54,48481.263221170746
0.18,0.55,46640.393390633006
0.18,0.56,42527.61436518852
0.18,0.57,39913.21265374151
0.18,0.58,33087.23485768728
0.18,0.59,31245.008107976068
0.18,0.6,26826.811744304923
0.18,0.61,20908.717425176652
0.18,0.62,19151.861191038246
0.18,0.63,18186.879518433005
0.18,0.64,11370.39759297359
0.18,0.65,9415.442444980177
0.18,0.66,5751.13903567113
0.18,0.67,5405.514439144271
0.18,0.68,1531.832841589795
0.18,0.69,-2799.241804993382
0.18,0.7,-7431.353288137888
0.18,0.71,-11869.178037466456
0.18,0.72,-14108.702652964188
0.18,0.73,-14666.40459995985
0.18,0.74,-20653.008193793776
0.18,0.75,-24482.473845440338
0.18,0.76,-26779.381363390843
0.18,0.77,-28736.006935305883
0.18,0.78,-33733.99119866947
0.18,0.79,-34303.791403005125
0.18,0.8,-35722.949189315215
0.18,0.81,-37813.092330129875
0.18,0.82,-42758.02588332915
0.18,0.83,-47468.03620867595
0.18,0.84,-49717.55666438816
0.18,0.85,-52894.855033190084
0.18,0.86,-54964.041207910675
0.18,0.87,-59275.428942881765
0.18,0.88,-60079.48069958403
0.18,0.89,-63280.897995893334
0.18,0.9,-62552.79443891338
0.18,0.91,-68474.54302448078
0.18,0.92,-69622.73712254544
0.18,0.93,-74742.23209210497
0.18,0.94,-75367.01560998807
0.18,0.95,-80483.41395584351
0.18,0.96,-83580.67851513377
0.18,0.97,-85967.74420799257
0.18,0.98,-87639.33017889492
0.18,0.99,-93096.6600060346
0.18,1.0,-94996.11115800362
0.19,0.0,138239.67732855858
0.19,0.01,177021.5196450397
0.19,0.02,204780.6341136773
0.19,0.03,219405.04357194778
0.19,0.04,227420.85750850136
0.19,0.05,232340.35019706938
0.19,0.06,233486.01049144365
0.19,0.07,231477.01876647168
0.19,0.08,230881.82297266775
0.19,0.09,228269.75572090855
0.19,0.1,225465.76146299104
0.19,0.11,221343.70680243286
0.19,0.12,218293.58286896197
0.19,0.13,214559.79601189203
0.19,0.14,211004.58478993564
0.19,0.15,206482.57627160242
0.19,0.16,202616.8274308778
0.19,0.17,199243.90223648126
0.19,0.18,194655.39226013285
0.19,0.19,189386.60639658925
0.19,0.2,185604.3007766057
0.19,0.21,181133.40355842994
0.19,0.22,178200.85049241097
0.19,0.23,172935.8069142172
0.19,0.24,169982.157361468
0.19,0.25,165943.50843703622
0.19,0.26,159010.475787505
0.19,0.27,157594.2575088237
0.19,0.28,150710.5301437423
0.19,0.29,148344.64242441143
0.19,0.3,144223.873164701
0.19,0.31,139642.07124238455
0.19,0.32,134744.92221328692
0.19,0.33,133162.07346594616
0.19,0.34,124364.55614451486
0.19,0.35,122349.29124014167
0.19,0.36,117361.72934525752
0.19,0.37,113707.40742306858
0.19,0.38,111159.87257836832
0.19,0.39,108240.06013759122
0.19,0.4,101071.84237115203
0.19,0.41,97910.90186256306
0.19,0.42,96648.36253574582
0.19,0.43,90466.93410484039
0.19,0.44,85034.30603138755
0.19,0.45,82427.80398806
0.19,0.46,80664.81638858507
0.19,0.47,76286.98747793317
0.19,0.48,71220.5752729598
0.19,0.49,67850.36832621924
0.19,0.5,63906.49405836982
0.19,0.51,60570.914585929684
0.19,0.52,53814.73503343551
0.19,0.53,51787.44157182725
0.19,0.54,50069.4566039403
0.19,0.55,44791.319113167
0.19,0.56,38919.74494524251
0.19,0.57,38830.18660163
0.19,0.58,37466.52011399967
0.19,0.59,30784.783110218974
0.19,0.6,27436.512336983695
0.19,0.61,23841.83410803621
0.19,0.62,20110.800996064092
0.19,0.63,16014.147050351126
0.19,0.64,11026.676289680463
0.19,0.65,8473.44515302913
0.19,0.66,3179.5737105192757
0.19,0.67,1837.9634884954548
0.19,0.68,-2054.3943099292255
0.19,0.69,-2712.2197827520076
0.19,0.7,-6281.642272115055
0.19,0.71,-9990.194062910947
0.19,0.72,-13479.55753016017
0.19,0.73,-16140.40460290787
0.19,0.74,-21633.841687065058
0.19,0.75,-22784.512756864737
0.19,0.76,-26064.868150278497
0.19,0.77,-27412.588858199902
0.19,0.78,-30325.83711246433
0.19,0.79,-36156.545882046456
0.19,0.8,-40625.824366473666
0.19,0.81,-40688.18912150335
0.19,0.82,-39399.750352116156
0.19,0.83,-44320.17711400936
0.19,0.84,-51876.40070534528
0.19,0.85,-52029.977884169064
0.19,0.86,-56672.06503921368
0.19,0.87,-56682.370365775794
0.19,0.88,-58862.064156961555
0.19,0.89,-60205.66253345243
0.19,0.9,-63089.32021721204
0.19,0.91,-67487.94164081119
0.19,0.92,-68278.55019375536
0.19,0.93,-73604.45595494345
0.19,0.94,-76488.40725740389
0.19,0.95,-81989.3835480121
0.19,0.96,-85370.46534515408
0.19,0.97,-86514.99581925955
0.19,0.98,-89779.64675343549
0.19,0.99,-93537.13296777039
0.19,1.0,-94996.11115800362
0.2,0.0,138239.67732855858
0.2,0.01,183075.10268157118
0.2,0.02,205081.2141453331
0.2,0.03,220188.97621147975
0.2,0.04,227298.57358009394
0.2,0.05,232086.05695626224
0.2,0.06,231443.68270360297
0.2,0.07,232277.31061649055
0.2,0.08,233388.14004015713
0.2,0.09,228777.29870546327
0.2,0.1,225613.6213872278
0.2,0.11,222485.93789402387
0.2,0.12,219866.01993273816
0.2,0.13,215346.5945698996
0.2,0.14,211491.8948496687
0.2,0.15,206799.62168257684
0.2,0.16,203396.26749413644
0.2,0.17,200801.6429390167
0.2,0.18,195299.1104744605
0.2,0.19,191730.43579525407
0.2,0.2,185493.55500042238
0.2,0.21,181303.12454618778
0.2,0.22,178230.39102407396
0.2,0.23,173537.1387210359
0.2,0.24,168213.0784948488
0.2,0.25,165330.27241549993
0.2,0.26,161590.79840806613
0.2,0.27,157274.94920757858
0.2,0.28,152274.6383831318
0.2,0.29,148070.82342761455
0.2,0.3,145952.09027148222
0.2,0.31,141110.86548433945
0.2,0.32,137132.40101856782
0.2,0.33,133665.6225195281
0.2,0.34,128675.40153388555
0.2,0.35,122738.42238742992
0.2,0.36,117962.51675545938
0.2,0.37,116579.02289813434
0.2,0.38,111380.5388458351
0.2,0.39,108220.10995947254
0.2,0.4,101848.93799184068
0.2,0.41,98946.64349523874
0.2,0.42,98052.66320149483
0.2,0.43,91427.3851025975
0.2,0.44,90356.34223341296
0.2,0.45,84121.86972764443
0.2,0.46,79647.28201093906
0.2,0.47,75073.77141614493
0.2,0.48,74086.44873898648
0.2,0.49,69299.31643537087
0.2,0.5,64715.27379359599
0.2,0.51,61522.81586224053
0.2,0.52,57422.86347337996
0.2,0.53,51952.23242735944
0.2,0.54,51388.54130468297
0.2,0.55,46436.09617873596
0.2,0.56,42726.49116425092
0.2,0.57,38944.3111172702
0.2,0.58,35119.357489785405
0.2,0.59,32599.739904090435
0.2,0.6,28161.322627202007
0.2,0.61,23841.478613422078
0.2,0.62,22912.8677030253
0.2,0.63,17636.149697639423
0.2,0.64,14340.618357169842
0.2,0.65,9482.259829737548
0.2,0.66,7869.135678023584
0.2,0.67,3247.4051320030603
0.2,0.68,1017.7445359262274
0.2,0.69,-606.3454850998514
0.2,0.7,-3747.7533155701876
0.2,0.71,-3987.747514970002
0.2,0.72,-9510.637406778571
0.2,0.73,-16083.159877553395
0.2,0.74,-20217.541427804652
0.2,0.75,-23537.66057073467
0.2,0.76,-24806.11176975185
0.2,0.77,-28303.6865004922
0.2,0.78,-33208.49794479494
0.2,0.79,-34883.703830707454
0.2,0.8,-37073.82632295112
0.2,0.81,-37326.84688153629
0.2,0.82,-42720.56667220464
0.2,0.83,-48171.48354440462
0.2,0.84,-45304.14789974187
0.2,0.85,-51949.02171592211
0.2,0.86,-54534.894753226086
0.2,0.87,-56585.38783007699
0.2,0.88,-63398.91670804548
0.2,0.89,-64528.80655088549
0.2,0.9,-64148.50574477188
0.2,0.91,-69270.78297679493
0.2,0.92,-69705.36180476728
0.2,0.93,-72339.27698897693
0.2,0.94,-78797.24504537931
0.2,0.95,-80594.35433021901
0.2,0.96,-85911.85018761145
0.2,0.97,-86855.07834573166
0.2,0.98,-90135.68510473697
0.2,0.99,-93537.13296777039
0.2,1.0,-94996.11115800362
0.21,0.0,138117.78673248176
0.21,0.01,174954.754674467
0.21,0.02,206018.81903681922
0.21,0.03,215001.9124294677
0.21,0.04,227131.0338583252
0.21,0.05,233524.26623456102
0.21,0.06,232993.0010097167
0.21,0.07,233802.96205515956
0.21,0.08,233103.02844465774
0.21,0.09,229127.0806306603
0.21,0.1,226687.27009136847
0.21,0.11,224138.33135402706
0.21,0.12,221934.2901837248
0.21,0.13,216335.89660040752
0.21,0.14,212546.99751144196
0.21,0.15,207233.9340722026
0.21,0.16,203529.32353393838
0.21,0.17,200650.1073651813
0.21,0.18,196900.2051727051
0.21,0.19,192039.3521742429
0.21,0.2,187097.42842908492
0.21,0.21,184712.9318941514
0.21,0.22,178044.6642616707
0.21,0.23,176326.13063585115
0.21,0.24,169993.47895696724
0.21,0.25,168222.361298592
0.21,0.26,162044.04470533563
0.21,0.27,158281.8024663889
0.21,0.28,151342.26176116042
0.21,0.29,147017.8559635083
0.21,0.3,144261.5339743402
0.21,0.31,143275.24503567844
0.21,0.32,136849.01708996546
0.21,0.33,132570.43157971115
0.21,0.34,130431.30926097278
0.21,0.35,127400.90507003442
0.21,0.36,118411.5354519713
0.21,0.37,117011.66425956255
0.21,0.38,111795.08814393729
0.21,0.39,109992.67466329076
0.21,0.4,104163.21487518783
0.21,0.41,98933.0570330529
0.21,0.42,97179.44021117156
0.21,0.43,92816.65778866019
0.21,0.44,87219.98973616598
0.21,0.45,88422.46282160589
0.21,0.46,81303.12893652602
0.21,0.47,79673.34577545781
0.21,0.48,70894.17846184294
0.21,0.49,70421.16314175448
0.21,0.5,66353.71377974866
0.21,0.51,60354.224188735214
0.21,0.52,58765.4438360235
0.21,0.53,55318.049314614786
0.21,0.54,48713.79416848163
0.21,0.55,47359.506808141145
0.21,0.56,43194.12733108765
0.21,0.57,42540.926747958074
0.21,0.58,38504.80312861226
0.21,0.59,33001.900487475104
0.21,0.6,26359.77147100225
0.21,0.61,24071.41564450754
0.21,0.62,23201.385257312326
0.21,0.63,17592.01128172921
0.21,0.64,14915.247774677997
0.21,0.65,11897.594088547929
0.21,0.66,9655.915614825073
0.21,0.67,5367.92298355961
0.21,0.68,-632.3544182481892
0.21,0.69,-1183.6615184282073
0.21,0.7,-4306.920933055724
0.21,0.71,-11126.708136108688
0.21,0.72,-9367.186284102103
0.21,0.73,-14905.374826086849
0.21,0.74,-17782.05131454983
0.21,0.75,-20786.86932313882
0.21,0.76,-23717.336658034823
0.21,0.77,-26132.882933768095
0.21,0.78,-32332.6545199131
0.21,0.79,-34780.77744338469
0.21,0.8,-37242.26584224447
0.21,0.81,-40342.53943851624
0.21,0.82,-44931.4086427845
0.21,0.83,-46416.54634641504
0.21,0.84,-46568.42952780421
0.21,0.85,-48717.776875580064
0.21,0.86,-54039.873612794065
0.21,0.87,-55564.88139827147
0.21,0.88,-58320.14003312994
0.21,0.89,-59911.03777867782
0.21,0.9,-63981.988223558124
0.21,0.91,-66405.28948173078
0.21,0.92,-69976.1071661955
0.21,0.93,-71599.78729823351
0.21,0.94,-74601.9549248182
0.21,0.95,-83645.33597359905
0.21,0.96,-84141.6542728564
0.21,0.97,-86860.01602692588
0.21,0.98,-89737.34787951004
0.21,0.99,-93537.13296777039
0.21,1.0,-94996.11115800362
0.22,0.0,137339.16787374645
0.22,0.01,169622.2166471021
0.22,0.02,212968.5168012104
0.22,0.03,215119.12428512727
0.22,0.04,228538.43142767483
0.22,0.05,230532.61025474715
0.22,0.06,236333.98057188757
0.22,0.07,233849.3234173458
0.22,0.08,231727.45477288525
0.22,0.09,231278.3279365188
0.22,0.1,226981.99736319354
0.22,0.11,223147.23675954802
0.22,0.12,221056.8744812566
0.22,0.13,219013.8227444253
0.22,0.14,213486.63996343364
0.22,0.15,210018.96016610396
0.22,0.16,204145.22535415448
0.22,0.17,200669.47356393613
0.22,0.18,196766.74744914353
0.22,0.19,192109.5498148025
0.22,0.2,187210.93887037225
0.22,0.21,184583.5374698471
0.22,0.22,179927.82087069468
0.22,0.23,175675.53048407706
0.22,0.24,170869.0953749254
0.22,0.25,167419.28187396523
0.22,0.26,164335.12813553595
0.22,0.27,159522.5263618506
0.22,0.28,153807.1263108341
0.22,0.29,149970.80825218884
0.22,0.3,147028.53548625988
0.22,0.31,143994.3990148473
0.22,0.32,138222.60022616675
0.22,0.33,135597.4062528939
0.22,0.34,127599.31177584046
0.22,0.35,127062.59056452097
0.22,0.36,121974.7873955689
0.22,0.37,118674.80334987087
0.22,0.38,110830.21890710595
0.22,0.39,109222.08626923927
0.22,0.4,102501.60660784859
0.22,0.41,102751.43199305597
0.22,0.42,99052.36533128266
0.22,0.43,93790.6811868148
0.22,0.44,90695.91193780873
0.22,0.45,85109.51861842537
0.22,0.46,81261.48294216703
0.22,0.47,77072.01560182498
0.22,0.48,77648.03308163157
0.22,0.49,70917.89436640385
0.22,0.5,65491.896980363796
0.22,0.51,62256.99093960158
0.22,0.52,62137.23602580672
0.22,0.53,56704.70804843073
0.22,0.54,53193.03372392385
0.22,0.55,48108.72325154382
0.22,0.56,42346.923176875694
0.22,0.57,39506.56710470556
0.22,0.58,35509.89549875704
0.22,0.59,30375.57636185061
0.22,0.6,26405.866765578823
0.22,0.61,24106.377093101142
0.22,0.62,20893.768861783217
0.22,0.63,18289.041310444205
0.22,0.64,17228.73368340946
0.22,0.65,12759.613439721845
0.22,0.66,10638.402048550997
0.22,0.67,6603.9646640487135
0.22,0.68,3632.1868815867274
0.22,0.69,-146.7170327857093
0.22,0.7,-5748.257890305714
0.22,0.71,-6450.41239992231
0.22,0.72,-9392.261410049086
0.22,0.73,-17942.923770644662
0.22,0.74,-17657.69956791419
0.22,0.75,-21685.04897606808
0.22,0.76,-20402.84543037004
0.22,0.77,-25666.781900889768
0.22,0.78,-30896.01522982232
0.22,0.79,-35507.64103356548
0.22,0.8,-37028.18112368611
0.22,0.81,-37281.72449408598
0.22,0.82,-42280.75976815392
0.22,0.83,-45581.574538058536
0.22,0.84,-47128.62778020836
0.22,0.85,-48446.753990117584
0.22,0.86,-53027.42582680646
0.22,0.87,-56904.349237203256
0.22,0.88,-59839.20554934771
0.22,0.89,-61391.7532195825
0.22,0.9,-64306.116421352766
0.22,0.91,-72265.99718458879
0.22,0.92,-69530.73305153045
0.22,0.93,-71731.90732047489
0.22,0.94,-75054.04319792593
0.22,0.95,-80465.10616081688
0.22,0.96,-85712.01331676157
0.22,0.97,-86954.6777252981
0.22,0.98,-89191.42172799102
0.22,0.99,-93537.13296777039
0.22,1.0,-94996.11115800362
0.23,0.0,137371.7328552858
0.23,0.01,172325.62644609713
0.23,0.02,211224.29820353567
0.23,0.03,226224.9530657965
0.23,0.04,228313.06225416216
0.23,0.05,235248.83706233837
0.23,0.06,234602.57829204382
0.23,0.07,233651.45933556632
0.23,0.08,231918.3803206312
0.23,0.09,230973.9391186733
0.23,0.1,227754.00658995824
0.23,0.11,225226.66964149222
0.23,0.12,220762.21692247648
0.23,0.13,218223.35596702667
0.23,0.14,214668.4616034156
0.23,0.15,209875.0014981723
0.23,0.16,204746.91023019527
0.23,0.17,199231.07887357534
0.23,0.18,198416.85867449798
0.23,0.19,192092.7162327607
0.23,0.2,188836.59756278092
0.23,0.21,187191.03040793136
0.23,0.22,180633.17868424213
0.23,0.23,177583.31205310425
0.23,0.24,170432.8625058684
0.23,0.25,169299.1999449802
0.23,0.26,164764.60808650003
0.23,0.27,157785.33711271698
0.23,0.28,155957.82580346044
0.23,0.29,148665.6321096414
0.23,0.3,146424.37967758084
0.23,0.31,141969.28442774212
0.23,0.32,139920.8064038354
0.23,0.33,136156.0101700195
0.23,0.34,132253.09420815614
0.23,0.35,126786.10326564628
0.23,0.36,120551.98269886203
0.23,0.37,115967.4513623681
0.23,0.38,115303.15095831738
0.23,0.39,110441.01208208164
0.23,0.4,105265.88720719592
0.23,0.41,102988.01005779227
0.23,0.42,99725.07839236579
0.23,0.43,95663.86436659879
0.23,0.44,90725.57251567999
0.23,0.45,86837.71909535135
0.23,0.46,80086.0328856972
0.23,0.47,79642.88134198697
0.23,0.48,75459.77391934805
0.23,0.49,73990.41712720205
0.23,0.5,67861.88931775777
0.23,0.51,63653.15824372738
0.23,0.52,63080.81980436048
0.23,0.53,55364.38945741729
0.23,0.54,51577.7234185755
0.23,0.55,50627.45788550223
0.23,0.56,44472.97516604379
0.23,0.57,40453.61421597255
0.23,0.58,38736.31532666198
0.23,0.59,31977.59502330146
0.23,0.6,31911.569476065615
0.23,0.61,26540.215225199267
0.23,0.62,22091.86623673629
0.23,0.63,19019.116832107993
0.23,0.64,14584.228126684582
0.23,0.65,13616.840583034504
0.23,0.66,11344.438147770801
0.23,0.67,7446.45696260094
0.23,0.68,3058.0890337434603
0.23,0.69,-1753.4166620633523
0.23,0.7,-5237.37463130039
0.23,0.71,-6650.301587140137
0.23,0.72,-10267.943286795035
0.23,0.73,-16959.305279683693
0.23,0.74,-15934.65872796205
0.23,0.75,-19522.914544457522
0.23,0.76,-24467.454646047772
0.23,0.77,-26272.27070854116
0.23,0.78,-30025.10814316714
0.23,0.79,-34634.42005978248
0.23,0.8,-33204.49546216786
0.23,0.81,-36246.26873213262
0.23,0.82,-43598.67772751926
0.23,0.83,-43960.79163189247
0.23,0.84,-45440.20414246928
0.23,0.85,-51578.535878145456
0.23,0.86,-53630.26206190508
0.23,0.87,-58534.8957481627
0.23,0.88,-58700.30842314564
0.23,0.89,-61654.775687791924
0.23,0.9,-65018.336453593365
0.23,0.91,-69875.48109607334
0.23,0.92,-67546.62243263467
0.23,0.93,-73386.03714318888
0.23,0.94,-75323.13582989652
0.23,0.95,-81122.36776689294
0.23,0.96,-86750.72659403262
0.23,0.97,-86397.25741399355
0.23,0.98,-88924.48716594766
0.23,0.99,-93537.13296777039
0.23,1.0,-94996.11115800362
0.24,0.0,138253.61543803272
0.24,0.01,174245.51210209468
0.24,0.02,200859.77568923097
0.24,0.03,218942.31151162984
0.24,0.04,230986.9885690671
0.24,0.05,236468.29077685377
0.24,0.06,234998.08389766983
0.24,0.07,234384.44063789933
0.24,0.08,233082.5239744533
0.24,0.09,231155.1871975721
0.24,0.1,227817.84921974601
0.24,0.11,225008.24492106636
