alpha,epsilon,performance
0.01,0.87,-64659.32948581946
0.01,0.88,-66244.75580257727
0.01,0.89,-69301.03716458307
0.01,0.9,-68154.03637891798
0.01,0.91,-77239.34952652875
0.01,0.92,-72165.73630258453
0.01,0.93,-79195.98777592472
0.01,0.94,-80301.88561133092
0.01,0.95,-82882.65159383768
0.01,0.96,-82957.79180502961
0.01,0.97,-88498.8707967631
0.01,0.98,-90767.97129426511
0.01,0.99,-90809.59916530992
0.01,1.0,-94996.11115800362
0.02,0.0,134798.9557877964
0.02,0.01,168433.83342092208
0.02,0.02,191184.45388994244
0.02,0.03,196523.39204166376
0.02,0.04,200026.2426205699
0.02,0.05,194775.19599303947
0.02,0.06,195326.33509955104
0.02,0.07,185172.07515064217
0.02,0.08,179756.11977376865
0.02,0.09,178814.77543298388
0.02,0.1,173784.53152463495
0.02,0.11,162395.81441196494
0.02,0.12,156829.95210572385
0.02,0.13,148833.5769930539
0.02,0.14,152782.96240664655
0.02,0.15,146398.75716052824
0.02,0.16,134149.4640631688
0.02,0.17,132930.5428284528
0.02,0.18,128721.09226589926
0.02,0.19,124765.16116040078
0.02,0.2,112357.3229046058
0.02,0.21,110484.59756310863
0.02,0.22,109760.48605868292
0.02,0.23,104783.412974083
0.02,0.24,101652.16132954774
0.02,0.25,98911.31582025364
0.02,0.26,88964.36665431701
0.02,0.27,87266.42969994762
0.02,0.28,82035.53091158954
0.02,0.29,79811.19670392325
0.02,0.3,74155.49764495547
0.02,0.31,70282.30777410556
0.02,0.32,69420.18510021763
0.02,0.33,67791.6259690797
0.02,0.34,65319.85010418601
0.02,0.35,62937.69876288379
0.02,0.36,56452.96156297378
0.02,0.37,53296.65303541393
0.02,0.38,49006.56091357016
0.02,0.39,44529.663632645905
0.02,0.4,41982.98981774838
0.02,0.41,42728.982350304235
0.02,0.42,36756.45859014373
0.02,0.43,33248.02573493403
0.02,0.44,31545.623601230694
0.02,0.45,28909.704688846105
0.02,0.46,23658.493900420668
0.02,0.47,24773.241229675703
0.02,0.48,22515.879167309857
0.02,0.49,18944.912786903493
0.02,0.5,12181.65526928272
0.02,0.51,12426.38904341084
0.02,0.52,10094.594916181148
0.02,0.53,8912.820710630183
0.02,0.54,5182.923323307437
0.02,0.55,1535.7014652098424
0.02,0.56,969.7229082298763
0.02,0.57,-457.5220290890502
0.02,0.58,-5011.231410643289
0.02,0.59,-8145.027223680561
0.02,0.6,-10465.694422247707
0.02,0.61,-14555.44546320484
0.02,0.62,-16235.811208625182
0.02,0.63,-15170.572317971768
0.02,0.64,-22813.399722727598
0.02,0.65,-19021.392253430422
0.02,0.66,-21040.311088071332
0.02,0.67,-24121.452835922275
0.02,0.68,-26157.25731182788
0.02,0.69,-24990.80525703067
0.02,0.7,-28074.341260556277
0.02,0.71,-32140.822807987042
0.02,0.72,-35119.44463288382
0.02,0.73,-37982.23839317183
0.02,0.74,-37600.510430670765
0.02,0.75,-43291.33873415883
0.02,0.76,-41818.55647816894
0.02,0.77,-46321.901259032995
0.02,0.78,-47020.17815635499
0.02,0.79,-50032.50141933594
0.02,0.8,-52940.716841592235
0.02,0.81,-52995.72388972813
0.02,0.82,-53786.907553361736
0.02,0.83,-58847.18154176458
0.02,0.84,-61407.06853157765
0.02,0.85,-58299.188938193765
0.02,0.86,-63780.583139964016
0.02,0.87,-62227.152262130316
0.02,0.88,-66056.64965073577
0.02,0.89,-66986.94715208586
0.02,0.9,-70115.9253139266
0.02,0.91,-71625.32868099581
0.02,0.92,-71543.36030021407
0.02,0.93,-73715.86058248836
0.02,0.94,-79524.65612556087
0.02,0.95,-82625.178112681
0.02,0.96,-84721.07872286026
0.02,0.97,-88027.67958473851
0.02,0.98,-90767.97129426511
0.02,0.99,-90809.59916530992
0.02,1.0,-94996.11115800362
0.03,0.0,136124.60215819627
0.03,0.01,173161.74264863977
0.03,0.02,193132.87617361257
0.03,0.03,204241.50905203828
0.03,0.04,207548.87283726077
0.03,0.05,205321.59174439427
0.03,0.06,199833.91993367445
0.03,0.07,196629.19562582808
0.03,0.08,191257.17225158022
0.03,0.09,189511.17621639883
0.03,0.1,184562.89561737393
0.03,0.11,182093.89035028976
0.03,0.12,176963.9060382801
0.03,0.13,165828.18365801586
0.03,0.14,161684.71758853862
0.03,0.15,160978.37400867225
0.03,0.16,151099.28312801805
0.03,0.17,148842.9730753964
0.03,0.18,139743.96586427186
0.03,0.19,135341.21635991364
0.03,0.2,132643.61368243996
0.03,0.21,122714.40197041532
0.03,0.22,121989.98941484564
0.03,0.23,113592.61034485823
0.03,0.24,113187.03250432131
0.03,0.25,108032.21429415693
0.03,0.26,103049.14796445917
0.03,0.27,102089.40096784994
0.03,0.28,94546.58302502484
0.03,0.29,92093.25504611101
0.03,0.3,88311.0081398174
0.03,0.31,85244.65052527991
0.03,0.32,81556.9235807221
0.03,0.33,75962.02382748529
0.03,0.34,77882.24260129088
0.03,0.35,71759.92106546453
0.03,0.36,67521.96555181214
0.03,0.37,65768.22120685678
0.03,0.38,59792.689950544394
0.03,0.39,56458.20111340547
0.03,0.4,46942.043530981005
0.03,0.41,50876.045322287115
0.03,0.42,46310.16323787482
0.03,0.43,45163.74607238094
0.03,0.44,41650.31309366208
0.03,0.45,38184.27037464644
0.03,0.46,34302.80154129548
0.03,0.47,30145.618422272135
0.03,0.48,25414.148182042758
0.03,0.49,27642.868490204295
0.03,0.5,23313.75912730568
0.03,0.51,16447.431770940828
0.03,0.52,12367.343059426401
0.03,0.53,14920.069295035219
0.03,0.54,8874.945044618888
0.03,0.55,8244.281755743405
0.03,0.56,5767.042634477166
0.03,0.57,1644.879542758612
0.03,0.58,-766.0669162241129
0.03,0.59,-3425.9235585164106
0.03,0.6,-5882.571697665748
0.03,0.61,-6606.889358606417
0.03,0.62,-12304.863067750382
0.03,0.63,-10799.663523462583
0.03,0.64,-15272.605497823159
0.03,0.65,-19183.053729591124
0.03,0.66,-20299.68389707282
0.03,0.67,-22359.8880902541
0.03,0.68,-25909.00961281795
0.03,0.69,-24522.29355295735
0.03,0.7,-29370.59904084276
0.03,0.71,-31001.698157368093
0.03,0.72,-31167.759155447675
0.03,0.73,-34131.87708526537
0.03,0.74,-36519.4615303406
