day,x,y
715,-136.5,-1.5
715,-136.5,-1.5
715,-136.5,-1.5
715,-136.5,-1.5
722,-149.5,-2.5
722,-149.5,-2.5
722,-149.5,-2.5
722,-149.5,-1.5
722,-149.5,-1.5
722,-149.5,-2.5
724,-145.5,-0.5
724,-144.5,-0.5
724,-144.5,-0.5
724,-144.5,-0.5
725,-143.5,-0.5
725,-143.5,-0.5
725,-143.5,-0.5
725,-142.5,-0.5
725,-142.5,-0.5
725,-142.5,-0.5
725,-141.5,-0.5
725,-141.5,-0.5
725,-141.5,-0.5
725,-140.5,-0.5
725,-140.5,-0.5
725,-140.5,-0.5
725,-140.5,-0.5
725,-140.5,0.5
725,-139.5,0.5
725,-139.5,0.5
725,-139.5,0.5
726,-138.5,0.5
726,-138.5,0.5
726,-138.5,0.5
726,-137.5,0.5
726,-137.5,0.5
726,-137.5,0.5
726,-136.5,0.5
726,-136.5,0.5
726,-136.5,0.5
726,-136.5,0.5
726,-135.5,0.5
726,-135.5,0.5
726,-135.5,0.5
726,-135.5,0.5
727,-134.5,0.5
727,-134.5,0.5
727,-134.5,0.5
727,-133.5,-0.5
727,-133.5,-0.5
727,-133.5,-0.5
727,-132.5,-0.5
727,-132.5,-0.5
727,-132.5,-0.5
727,-131.5,-0.5
727,-131.5,-0.5
727,-131.5,-0.5
727,-130.5,-0.5
727,-130.5,-0.5
728,-130.5,-0.5
728,-129.5,-0.5
728,-129.5,-0.5
728,-129.5,-0.5
728,-129.5,-0.5
728,-128.5,-0.5
728,-128.5,-0.5
728,-128.5,-0.5
728,-127.5,-0.5
728,-127.5,-0.5
728,-127.5,-0.5
728,-127.5,-0.5
728,-126.5,-0.5
728,-126.5,-0.5
728,-126.5,-0.5
729,-126.5,-0.5
729,-125.5,-0.5
729,-125.5,0.5
729,-125.5,0.5
729,-124.5,0.5
729,-124.5,0.5
729,-124.5,0.5
729,-124.5,0.5
729,-123.5,0.5
729,-123.5,0.5
729,-123.5,0.5
729,-122.5,0.5
729,-122.5,0.5
729,-122.5,0.5
729,-121.5,0.5
729,-121.5,0.5
730,-121.5,0.5
730,-121.5,0.5
730,-120.5,-0.5
730,-120.5,-0.5
730,-120.5,-0.5
730,-120.5,-0.5
730,-119.5,-0.5
730,-119.5,-0.5
730,-119.5,-0.5
730,-119.5,-1.5
730,-118.5,-1.5
730,-118.5,-1.5
730,-118.5,-1.5
730,-118.5,-1.5
730,-117.5,-2.5
730,-117.5,-2.5
440,-112.5,3.5
440,-112.5,3.5
390,-79.5,-10.5
391,-79.5,-11.5
391,-78.5,-12.5
391,-78.5,-12.5
391,-78.5,-13.5
391,-78.5,-13.5
391,-78.5,-13.5
391,-78.5,-13.5
391,-77.5,-13.5
392,-77.5,-13.5
392,-77.5,-14.5
392,-77.5,-14.5
392,-77.5,-14.5
409,-84.5,-7.5
409,-84.5,-7.5
409,-85.5,-5.5
409,-85.5,-5.5
409,-85.5,-5.5
409,-86.5,-5.5
409,-86.5,-5.5
409,-86.5,-4.5
409,-86.5,-4.5
409,-86.5,-4.5
409,-86.5,-4.5
410,-86.5,-4.5
410,-86.5,-4.5
410,-87.5,-2.5
410,-87.5,-2.5
410,-87.5,-2.5
410,-86.5,-2.5
410,-86.5,-2.5
410,-86.5,-2.5
410,-86.5,-2.5
411,-86.5,-2.5
411,-86.5,-2.5
411,-86.5,-2.5
422,-84.5,-4.5
423,-84.5,-4.5
423,-84.5,-5.5
423,-85.5,-5.5
423,-85.5,-5.5
423,-85.5,-5.5
