lon,lat,value
-86.5,-39.5,0.0020331963896751404
-84.5,-39.5,0.001986207440495491
-82.5,-39.5,0.0019813335966318846
-80.5,-39.5,0.0020204621832817793
-78.5,-39.5,0.0019435747526586056
-76.5,-39.5,0.001858312520198524
-74.5,-39.5,0.001512623275630176
-178.5,-37.5,0.020188314840197563
-176.5,-37.5,0.02241285890340805
-174.5,-37.5,0.030109696090221405
-172.5,-37.5,0.035280294716358185
-170.5,-37.5,0.03145142272114754
-168.5,-37.5,0.026307007297873497
-166.5,-37.5,0.022201279178261757
-164.5,-37.5,0.019026555120944977
-162.5,-37.5,0.01649588532745838
-160.5,-37.5,0.014650064520537853
-158.5,-37.5,0.013304739259183407
-156.5,-37.5,0.012234847992658615
-154.5,-37.5,0.01149282418191433
-152.5,-37.5,0.010904575698077679
-150.5,-37.5,0.010380718857049942
-148.5,-37.5,0.00990940909832716
-146.5,-37.5,0.009360700845718384
-144.5,-37.5,0.00888688676059246
-142.5,-37.5,0.008465536870062351
-140.5,-37.5,0.008103222586214542
-138.5,-37.5,0.007737802341580391
-136.5,-37.5,0.007379965391010046
-134.5,-37.5,0.007046636193990707
-132.5,-37.5,0.006726516410708427
-130.5,-37.5,0.0063951388001441956
-128.5,-37.5,0.006020150147378445
-126.5,-37.5,0.00566398911178112
-124.5,-37.5,0.005375837907195091
-122.5,-37.5,0.005125843919813633
-120.5,-37.5,0.0048747314140200615
-118.5,-37.5,0.004614556673914194
-116.5,-37.5,0.00435117119923234
-114.5,-37.5,0.0041092075407505035
-112.5,-37.5,0.003900323063135147
-110.5,-37.5,0.003701042151078582
-108.5,-37.5,0.003487118985503912
-106.5,-37.5,0.003272856818512082
-104.5,-37.5,0.0030836090445518494
-102.5,-37.5,0.002919177059084177
-100.5,-37.5,0.002769838087260723
-98.5,-37.5,0.0026437602937221527
-96.5,-37.5,0.0025322246365249157
-94.5,-37.5,0.0024425252340734005
-92.5,-37.5,0.0023672878742218018
-90.5,-37.5,0.002309773350134492
-88.5,-37.5,0.0022738869301974773
-86.5,-37.5,0.002255555707961321
-84.5,-37.5,0.0022383579052984715
-82.5,-37.5,0.0022422117181122303
-80.5,-37.5,0.0022906160447746515
-78.5,-37.5,0.002347380854189396
-76.5,-37.5,0.002596092876046896
-74.5,-37.5,0.00295421970076859
-178.5,-35.5,0.026983406394720078
-176.5,-35.5,0.03531395643949509
-174.5,-35.5,0.04156952723860741
-172.5,-35.5,0.03536030650138855
-170.5,-35.5,0.028093766421079636
-168.5,-35.5,0.02338859811425209
-166.5,-35.5,0.020313067361712456
-164.5,-35.5,0.017937174066901207
-162.5,-35.5,0.016064900904893875
-160.5,-35.5,0.014723475091159344
-158.5,-35.5,0.013745917938649654
-156.5,-35.5,0.012945913709700108
-154.5,-35.5,0.012374074198305607
-152.5,-35.5,0.011859195306897163
-150.5,-35.5,0.011314316652715206
-148.5,-35.5,0.010762914083898067
-146.5,-35.5,0.01020791381597519
-144.5,-35.5,0.009690121747553349
-142.5,-35.5,0.009202447719871998
-140.5,-35.5,0.008760250173509121
-138.5,-35.5,0.008347359485924244
-136.5,-35.5,0.00794784165918827
-134.5,-35.5,0.007540932856500149
-132.5,-35.5,0.007136167958378792
-130.5,-35.5,0.006755280774086714
-128.5,-35.5,0.006379404105246067
-126.5,-35.5,0.006027905270457268
-124.5,-35.5,0.005694468505680561
-122.5,-35.5,0.0053557720966637135
-120.5,-35.5,0.005042731296271086
-118.5,-35.5,0.00477259885519743
-116.5,-35.5,0.004505206365138292
-114.5,-35.5,0.004249291494488716
-112.5,-35.5,0.004018151666969061
-110.5,-35.5,0.0037892605178058147
-108.5,-35.5,0.0035640436690300703
-106.5,-35.5,0.003352341940626502
-104.5,-35.5,0.0031629709992557764
-102.5,-35.5,0.00299750454723835
-100.5,-35.5,0.002839303109794855
-98.5,-35.5,0.0026922645047307014
-96.5,-35.5,0.002558173146098852
-94.5,-35.5,0.0024378402158617973
-92.5,-35.5,0.0023351439740508795
-90.5,-35.5,0.002255232073366642
-88.5,-35.5,0.0021949626971036196
-86.5,-35.5,0.002169520128518343
-84.5,-35.5,0.0021738209761679173
-82.5,-35.5,0.0022855105344206095
-80.5,-35.5,0.002450603526085615
-78.5,-35.5,0.002728054765611887
-76.5,-35.5,0.003411285113543272
-74.5,-35.5,0.0026255976408720016
-72.5,-35.5,0.0026555487420409918
-178.5,-33.5,0.04569977521896362
-176.5,-33.5,0.04591705650091171
-174.5,-33.5,0.03818948566913605
-172.5,-33.5,0.031041018664836884
-170.5,-33.5,0.025554601103067398
-168.5,-33.5,0.021944494917988777
-166.5,-33.5,0.019397400319576263
-164.5,-33.5,0.017482029274106026
-162.5,-33.5,0.016028529033064842
-160.5,-33.5,0.015015946701169014
-158.5,-33.5,0.01415291242301464
-156.5,-33.5,0.013326996006071568
-154.5,-33.5,0.012642588466405869
-152.5,-33.5,0.012008974328637123
-150.5,-33.5,0.011403695680201054
-148.5,-33.5,0.01084134541451931
-146.5,-33.5,0.010331233963370323
-144.5,-33.5,0.009846938773989677
-142.5,-33.5,0.009367956779897213
-140.5,-33.5,0.008916511200368404
-138.5,-33.5,0.008503613993525505
-136.5,-33.5,0.00809787679463625
-134.5,-33.5,0.007618040312081575
-132.5,-33.5,0.007128770928829908
-130.5,-33.5,0.006694179493933916
-128.5,-33.5,0.006256455555558205
-126.5,-33.5,0.005805919412523508
-124.5,-33.5,0.005347793456166983
