lon,lat,value
-156.5,-41.5,5.266151842434666e-4
-154.5,-41.5,5.219438286660913e-4
-152.5,-41.5,5.166285654697781e-4
-150.5,-41.5,5.176910072784733e-4
-148.5,-41.5,5.31715734732767e-4
-146.5,-41.5,5.540657370683219e-4
-144.5,-41.5,5.751086772405736e-4
-142.5,-41.5,5.911113432229171e-4
-140.5,-41.5,5.978376250300516e-4
-138.5,-41.5,5.932969641439015e-4
-136.5,-41.5,5.794268459738043e-4
-134.5,-41.5,5.644173559188276e-4
-132.5,-41.5,5.468055547699166e-4
-130.5,-41.5,5.229622445735096e-4
-128.5,-41.5,5.012653123154045e-4
-126.5,-41.5,4.8745097565373137e-4
-124.5,-41.5,4.7787401673891433e-4
-122.5,-41.5,4.672914059705178e-4
-120.5,-41.5,4.5671280017612486e-4
-118.5,-41.5,4.472218761704786e-4
-116.5,-41.5,4.3951791970226454e-4
-114.5,-41.5,4.3399091151348767e-4
-112.5,-41.5,4.280215986057956e-4
-110.5,-41.5,4.2222611309496465e-4
-108.5,-41.5,4.161689212612944e-4
-106.5,-41.5,4.0412976771714363e-4
-104.5,-41.5,3.878262964930911e-4
-102.5,-41.5,3.7641580861645467e-4
-100.5,-41.5,3.6841355361687917e-4
-98.5,-41.5,3.608513559407349e-4
-96.5,-41.5,3.5464658513694646e-4
-94.5,-41.5,3.526731125871021e-4
-92.5,-41.5,3.539567787871615e-4
-90.5,-41.5,3.5007022523791546e-4
-88.5,-41.5,3.464459830795238e-4
-86.5,-41.5,3.447923321947149e-4
-84.5,-41.5,3.414902743478931e-4
-82.5,-41.5,3.329533697252188e-4
-80.5,-41.5,3.272604864620627e-4
-78.5,-41.5,3.464302513111356e-4
-170.5,-39.5,6.229779129228464e-4
-168.5,-39.5,5.378714662145833e-4
-166.5,-39.5,4.871807119403951e-4
-164.5,-39.5,4.6165675330060827e-4
-162.5,-39.5,4.538238309069259e-4
-160.5,-39.5,4.472090256783519e-4
-158.5,-39.5,4.452012083154695e-4
-156.5,-39.5,4.402937609612203e-4
-154.5,-39.5,4.327642369578824e-4
-152.5,-39.5,4.26970883591485e-4
-150.5,-39.5,4.2780002846128004e-4
-148.5,-39.5,4.3501241038650584e-4
-146.5,-39.5,4.470097854248636e-4
-144.5,-39.5,4.594914741900305e-4
-142.5,-39.5,4.685286836227657e-4
-140.5,-39.5,4.6891984568803787e-4
-138.5,-39.5,4.613545362335311e-4
-136.5,-39.5,4.442921944677035e-4
-134.5,-39.5,4.2850297343081787e-4
-132.5,-39.5,4.12112458850903e-4
-130.5,-39.5,3.9414329300726814e-4
-128.5,-39.5,3.8033299013236124e-4
