port_name,hold_volume_in_m3,carrying_capacity_in_t,length_in_m,beam_in_m
MANTA,1269,953,65.1,11.58
BALBOA,1363,1148,65.26,12.8
ENSENADA,1273,1043,69.24,12.9
GUAYAQUIL,1363,974,68.88,12.8
MANTA,1403,1139,71.5,12.6
ENSENADA,1416,1089,71.01,13.1
MANTA,1862,1262,68.27,14.02
ENSENADA,1273,1080,69.18,12.8
ENSENADA,1273,1089,69.18,12.8
SAN DIEGO,1275,1089,61.17,12.8
MAZATLAN,1298,1089,61.89,12.9
MAZATLAN,1297,1089,70,12.9
LA UNION,1919,1450,78.8,13.5
ENSENADA,1118,896,56.71,12.02
ENSENADA,1520,1202,63.39,13.1
GUAYAQUIL,1581,1286,78.02,12.8
ENSENADA,1480,1134,71.01,13.1
MANTA,1360,1162,65.4,12.8
MANTA,1242,1089,68.83,12.49
MAZATLAN,1627,1246,68.58,13.65
MANTA,1875,1600,74.66,12.8
PAGO PAGO HARBOR,1581,1361,68.82,13.31
PAGO PAGO HARBOR,1581,1361,67.3,13.31
MANTA,1881,1350,77.3,13.6
GUAYAQUIL,1881,1200,77.3,13.6
GUAYAQUIL,1881,1200,77.3,13.6
LA UNION,2554,1800,91.9,15.2
GUAYAQUIL,2056,1400,78.63,13.71
GUAYAQUIL,3264,2799,116,16.6
MANTA,542,387,53.85,8.6
MANTA,1126,804,61.56,11.4
MANTA,1012,865,62.7,11.5
ENSENADA,996,858,62.75,11.5
ENSENADA,996,858,62.75,11.5
MANTA,458,270,56.93,8.7
MANTA,1881,1608,77.3,13.6
MANTA,220,176,32.56,8.58
CORINTO,1750,1081,76.5,11.8
PAGO PAGO HARBOR,2032,1360,75.25,12.8
MANTA,2439,1742,107.5,16.62
MANTA,2439,1742,107.5,16.62
CARTAGENA,1603,1367,78.33,13.65
PAGO PAGO HARBOR,2019,1500,89.21,13.89
CUMANA (PUERTO SUCRE),769,600,51.52,11.58
MANTA,399,280,56.9,8.9
GUAYAQUIL,217,181,36.88,8.53
