lon,lat,value
-150.5,-47.5,2.635439159348607e-4
-148.5,-47.5,2.4604887585155666e-4
-146.5,-47.5,2.2954308951739222e-4
-144.5,-47.5,2.1402585844043642e-4
-142.5,-47.5,1.997113140532747e-4
-140.5,-47.5,1.866624952526763e-4
-138.5,-47.5,1.7485306307207793e-4
-136.5,-47.5,1.642206043470651e-4
-134.5,-47.5,1.547362480778247e-4
-132.5,-47.5,1.4635763363912702e-4
-130.5,-47.5,1.3903285434935242e-4
-128.5,-47.5,1.3270974159240723e-4
-126.5,-47.5,1.2734111805912107e-4
-124.5,-47.5,1.2285647972021252e-4
-122.5,-47.5,1.1916055518668145e-4
-120.5,-47.5,1.1616435222094879e-4
-118.5,-47.5,1.1377677583368495e-4
-116.5,-47.5,1.1190319492015988e-4
-114.5,-47.5,1.1043086851714179e-4
-112.5,-47.5,1.0928294796030968e-4
-110.5,-47.5,1.0841395851457492e-4
-108.5,-47.5,1.0777299030451104e-4
-106.5,-47.5,1.0729365749284625e-4
-104.5,-47.5,1.0690220369724557e-4
-102.5,-47.5,1.0653257777448744e-4
-100.5,-47.5,1.0612916230456904e-4
-98.5,-47.5,1.0564538388280198e-4
-96.5,-47.5,1.0503947123652324e-4
-94.5,-47.5,1.042599105858244e-4
-92.5,-47.5,1.0332519741496071e-4
-90.5,-47.5,1.0224154539173469e-4
-88.5,-47.5,1.0103673412231728e-4
-86.5,-47.5,9.977323497878388e-5
-84.5,-47.5,9.85317601589486e-5
-82.5,-47.5,9.740576206240803e-5
-80.5,-47.5,9.647705155657604e-5
-78.5,-47.5,9.581365884514526e-5
-76.5,-47.5,9.559470345266163e-5
-178.5,-45.5,6.384766311384737e-4
-176.5,-45.5,6.402884609997272e-4
-174.5,-45.5,6.315779173746705e-4
-172.5,-45.5,6.150868139229715e-4
-170.5,-45.5,5.929089966230094e-4
-168.5,-45.5,5.671960534527898e-4
-166.5,-45.5,5.389858270063996e-4
-164.5,-45.5,5.09547651745379e-4
-162.5,-45.5,4.7982807154767215e-4
-160.5,-45.5,4.50410065241158e-4
-158.5,-45.5,4.2155140545219183e-4
-156.5,-45.5,3.935693821404129e-4
-154.5,-45.5,3.6704359808936715e-4
-152.5,-45.5,3.4205845440737903e-4
-150.5,-45.5,3.18498641718179e-4
-148.5,-45.5,2.963563019875437e-4
-146.5,-45.5,2.757874899543822e-4
-144.5,-45.5,2.569116186350584e-4
-142.5,-45.5,2.3973734641913325e-4
-140.5,-45.5,2.242349146399647e-4
-138.5,-45.5,2.1029511117376387e-4
-136.5,-45.5,1.9779399735853076e-4
-134.5,-45.5,1.8669675046112388e-4
-132.5,-45.5,1.769733935361728e-4
-130.5,-45.5,1.6858300659805536e-4
-128.5,-45.5,1.614350185263902e-4
-126.5,-45.5,1.5542979235760868e-4
-124.5,-45.5,1.5046741464175284e-4
-122.5,-45.5,1.4644050679635257e-4
-120.5,-45.5,1.4324414951261133e-4
-118.5,-45.5,1.4079261745791882e-4
-116.5,-45.5,1.3901696365792304e-4
-114.5,-45.5,1.377968001179397e-4
-112.5,-45.5,1.369741657981649e-4
-110.5,-45.5,1.3643833517562598e-4
-108.5,-45.5,1.3613476767204702e-4
-106.5,-45.5,0.00013598984514828771
-104.5,-45.5,1.358933950541541e-4
-102.5,-45.5,1.3573958131019026e-4
-100.5,-45.5,1.3545383990276605e-4
-98.5,-45.5,1.3497282634489238e-4
-96.5,-45.5,1.342283358098939e-4
-94.5,-45.5,1.3319028948899359e-4
-92.5,-45.5,1.3185299758333713e-4
-90.5,-45.5,1.302216696785763e-4
-88.5,-45.5,1.2835579400416464e-4
-86.5,-45.5,1.2637711188290268e-4
-84.5,-45.5,1.244254526682198e-4
-82.5,-45.5,1.2267006968613714e-4
-80.5,-45.5,1.2129049719078466e-4
-78.5,-45.5,1.2045217590639368e-4
-76.5,-45.5,1.2026611511828378e-4
-178.5,-43.5,8.1962178228423e-4
-176.5,-43.5,8.207811042666435e-4
-174.5,-43.5,8.044500136747956e-4
-172.5,-43.5,7.784944609738886e-4
-170.5,-43.5,7.453838479705155e-4
-168.5,-43.5,7.080543437041342e-4
-166.5,-43.5,6.689993315376341e-4
-164.5,-43.5,6.292610196396708e-4
-162.5,-43.5,5.897759110666811e-4
-160.5,-43.5,5.509994807653129e-4
-158.5,-43.5,5.13714156113565e-4
-156.5,-43.5,4.784966877195984e-4
-154.5,-43.5,4.454595036804676e-4
-152.5,-43.5,4.1452975710853934e-4
-150.5,-43.5,3.856479306705296e-4
