bet,skj,yft
0,5,45
0,70,0
0,35,0
0,230,0
0,20,0
0,21,0
0,0.01,0
0,10,0
0,110,0
0,4,0
0,0.01,0
0,0.01,0
0,0,0
0,1,19
0,13,3
0,104,0
0,15,0
0,0,0
0,20,0
0,0,0
0,0,0
0,2,0
0,0,0
0,12,7
0,50,8
0,0,1
0,0,0
0,4,0
0,35,0
0,0,0
0,16,0
0,0,0
0,5,0
0,0,0
0,0,0
0,24,0
0,110,0
0,0,0
0,0,0
200,64,21
0,25,0
0,0,0
0,0,0
0,25,0
0,30,0
0,30,0
0,60,0
0,10,0
0,48,0
0,35,0
0,74,0
0,35,0
0,25,0
0,65,0
0,50,0
0,114,0
0,220,0
0,145,0
0,0,0
0,7,0
0,0,0
0,12,0
10,210,10
0,91,0
0,3,0
0,0.01,0
0,0.01,0
0,0.01,0
0,0,0
0,80,0
0,0,0
0,7,0
0,6,0
0,0,0
0,27,0
0,22,0
0,4,0
0,16,0
0,55,0
0,68,4
0,0,0
0,20,0
0,10,0
0,2,0
0,0,0
0,3,0
0,15,0
0,1,0
0,3,0
0,4,0
0,1,0
0,25,0
0,5,0
0,0,0
0,100,0
0,1,0
0,2,0
0,6,0
0,0.01,0
0,0.5,0
0,10,41
0,0,0.01
0,0,0.01
0,24.3,57
0,18,42.2
0,8,12.1
0,20.2,15.1
0,0,0.01
0,9,36
0,0,0
0,20,0
0,27,0
0,0,0
0,7,0
0,0,25
0,58,0
0,10,0
0,44,0
0,60,0
0,0,62
0,40,0
0,85,0
0,29,0
0,5,0
0,35,0
0,4,0
0,0,0
0,12,0
0,0,0
0,0,0
0,0,0
0,4,0
0,33,0
0,0,0
0,84,0
0,0,0
0,7,0
0,12,0
0,6,0
0,0,0
0,0,0
0,0,0
0,0,0
0,19,0
0,0,0
0,32,2
0,37,0
0,13,0
0,51,0
0,11,0
0,7,1
0,10,0
0,2,0
0,4,0
0,43,0
0,5,0
0,11,0
0,28,0
0,0.01,0
0,18,0
0,62,0
0,53,0
0,28,0
0,37,0
0,17,8
0,0.01,0
0,179,6
0,7,3
0,32,0
